"Name","Live Bytes","Live Objects"
"com.intellij.util.lang.Loader[]","38,232 B (0%)","1,300 (0%)"
"sun.font.TrueTypeFont$DirectoryEntry[]","38,008 B (0%)","402 (0%)"
"java.lang.management.ThreadInfo[]","37,904 B (0%)","269 (0%)"
"javax.swing.text.html.StyleSheet$SmallConversionSet","37,696 B (0%)","1,178 (0%)"
"sun.reflect.annotation.AnnotationInvocationHandler","36,840 B (0%)","1,535 (0%)"
"com.intellij.util.keyFMap.ArrayBackedFMap","36,744 B (0%)","1,531 (0%)"
"com.intellij.util.xmlb.OptionTagBinding","36,360 B (0%)","909 (0%)"
"int[][]","36,336 B (0%)","432 (0%)"
"com.intellij.util.keyFMap.OneElementFMap","36,240 B (0%)","1,510 (0%)"
"com.intellij.util.SmartFMap","36,064 B (0%)","2,254 (0%)"
"com.intellij.util.containers.ConcurrentIntObjectHashMap$Node[]","35,968 B (0%)","112 (0%)"
"com.intellij.terminal.JBTerminalWidget$$Lambda$2450.0x0000000101681840","35,952 B (0%)","1,498 (0%)"
"com.intellij.util.ui.JBScalableIcon$1","35,488 B (0%)","1,109 (0%)"
"java.util.concurrent.SynchronousQueue$TransferStack$SNode","35,296 B (0%)","1,103 (0%)"
"com.intellij.util.ui.JBInsets","35,232 B (0%)","1,101 (0%)"
"javax.swing.tree.VariableHeightLayoutCache$TreeStateNode","35,000 B (0%)","625 (0%)"
"com.jediterm.terminal.TextStyle$Builder","34,872 B (0%)","1,453 (0%)"
"javax.swing.tree.TreePath","34,872 B (0%)","1,453 (0%)"
"javax.management.ObjectName$Property","34,824 B (0%)","1,451 (0%)"
"com.intellij.openapi.editor.impl.EditorMarkupModelImpl$2","34,656 B (0%)","76 (0%)"
"com.intellij.openapi.editor.impl.EditorGutterComponentImpl","34,656 B (0%)","76 (0%)"
"com.intellij.ui.MixedColorProducer","34,080 B (0%)","852 (0%)"
"com.intellij.openapi.editor.impl.EditorComponentImpl","34,048 B (0%)","76 (0%)"
"com.jediterm.terminal.model.LinesBuffer","34,032 B (0%)","1,418 (0%)"
"sun.awt.image.IntegerInterleavedRaster","34,008 B (0%)","327 (0%)"
"javax.management.ObjectName","33,984 B (0%)","1,062 (0%)"
"com.intellij.util.ui.JBInsets$JBInsetsUIResource","33,984 B (0%)","1,062 (0%)"
"com.intellij.openapi.actionSystem.DefaultActionGroup","33,936 B (0%)","606 (0%)"
"com.intellij.util.containers.SLRUMap$1","33,880 B (0%)","605 (0%)"
"com.intellij.util.containers.SLRUMap$2","33,880 B (0%)","605 (0%)"
"com.intellij.util.containers.UnsafeWeakList$MyReference","33,856 B (0%)","1,058 (0%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","33,360 B (0%)","1,390 (0%)"
"com.intellij.openapi.editor.impl.EditorImpl$MyScrollPane","32,832 B (0%)","76 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock","32,832 B (0%)","1,368 (0%)"
"java.util.concurrent.locks.ReentrantLock","32,624 B (0%)","2,039 (0%)"
"javax.swing.ArrayTable","32,608 B (0%)","2,038 (0%)"
"com.intellij.openapi.editor.markup.AttributesFlyweight$FlyweightKey","32,280 B (0%)","807 (0%)"
"java.util.regex.IntHashSet[]","32,080 B (0%)","2,005 (0%)"
"java.awt.GridBagConstraints","31,696 B (0%)","283 (0%)"
"com.intellij.codeInsight.template.impl.TemplateSettings$TemplateKey","31,512 B (0%)","1,313 (0%)"
"java.math.BigInteger","31,320 B (0%)","783 (0%)"
"com.intellij.ui.DeferredIconImpl","31,248 B (0%)","434 (0%)"
"java.lang.Class$AnnotationData","31,080 B (0%)","1,295 (0%)"
"com.intellij.openapi.actionSystem.KeyboardShortcut","30,912 B (0%)","1,288 (0%)"
"com.intellij.openapi.editor.impl.EditorImpl$MyScrollBar","30,400 B (0%)","76 (0%)"
"com.intellij.openapi.editor.impl.EditorImpl$OpaqueAwareScrollBar","29,792 B (0%)","76 (0%)"
"com.intellij.openapi.editor.impl.EditorImpl","29,792 B (0%)","76 (0%)"
